,x,y
203,0.16700244,2.7825634
204,1.9238636,0.06987499
205,1.8322034,0.37831247
206,7.985281,2.549296
207,6.444881,1.1066239
208,7.460981,4.6250305
209,6.476086,0.94989413
210,6.8893433,3.3968594
211,0.060785566,1.8623724
212,0.5188037,6.3127193
213,-0.52295405,5.894166
214,6.409471,0.88518244
215,-0.6691143,6.52001
216,-0.5724552,6.4211745
217,-0.8210419,5.9842014
218,-0.73656195,6.2852445
219,0.5882615,4.7635207
220,0.56044996,4.7759285
221,0.6565573,4.731606
222,0.43567222,4.6853714
223,0.5248203,4.809607
224,0.6447567,4.8125625
225,0.27928197,4.7730474
226,0.53033245,4.833004
227,6.836753,4.2588353
228,-0.33645663,4.468043
229,6.819297,4.2362704
230,-0.26426977,4.3706245
231,7.5120273,4.3219814
232,-0.43449846,4.897602
233,6.689176,4.311594
234,-0.16430302,4.4046884
235,6.6756544,4.1882424
236,6.6425457,4.178606
237,6.8205028,4.214692
238,5.750926,8.241808
239,0.28317904,6.817752
240,-0.48847482,4.3688126
241,-0.23763983,4.520877
242,-0.1372862,4.570891
243,-0.2850884,4.4465437
244,6.440386,4.522231
245,5.6188264,9.898164
246,7.2652144,4.241052
247,1.8367937,3.6145184
248,5.5506573,9.982869
249,5.587957,9.989693
250,5.621488,10.095509
251,5.5426755,10.00345
252,5.7577195,8.665325
253,1.6503935,3.7647614
254,5.6508217,9.9329
255,0.94843,8.242129
256,1.7166897,3.7647648
257,1.6331841,3.836116
258,4.900169,7.114441
259,3.8267787,7.1612334
260,3.0806334,5.32586
261,4.3385854,7.0182233
262,6.116532,2.3311095
263,6.1638527,2.4074717
264,-0.23022425,4.424894
265,5.0160685,4.705193
266,1.0699557,1.9580363
267,4.6311493,4.277995
268,5.483773,4.8388963
269,5.4168444,4.9939027
270,6.3448462,0.85594255
271,5.6847854,4.872862
272,5.608156,4.986666
273,5.7963376,4.938846
274,2.8003633,4.7272453
275,-0.24061875,4.414448
276,2.8923104,4.6852546
277,5.9672728,4.593203
278,5.704525,3.3987153
279,-0.35318428,4.4123387
280,2.831553,4.8272877
281,2.9616358,4.6828375
282,2.6361978,7.173319
283,2.1606925,6.8851204
284,2.418488,6.227548
285,-1.4167647,6.6298013
286,-0.9156597,7.4553266
287,-0.7977315,7.4470625
288,5.314467,6.2126846
289,5.193184,6.403809
290,5.3983006,6.2630777
291,5.288402,6.3374414
292,5.22571,6.3034687
293,5.285771,6.2797546
294,5.800541,2.4060123
295,5.781778,2.3655093
296,5.7833877,2.3791754
297,5.758672,2.3229637
298,5.7895856,2.4364786
299,5.6951084,2.2609248
300,5.807274,2.422967
301,5.680568,2.3441565
302,5.689477,2.289268
303,5.6443977,2.3964415
304,5.7924666,2.3996067
305,5.7918143,2.412888
306,5.8436866,2.356939
307,3.066305,9.811037
308,2.9219606,7.5843534
309,6.0291452,5.2436996
310,3.7983117,9.167843
311,4.0483727,9.438246
312,3.9803426,9.000172
313,4.4690485,8.872558
314,2.3951433,6.6476526
315,4.307762,9.443372
316,3.891787,9.302621
317,3.191061,2.7254899
318,3.437717,4.2048535
319,4.2583404,2.2863443
320,9.5884495,6.2875257
321,6.39333,3.3773541
322,0.56616235,4.65792
323,0.5411878,4.7513256
324,0.35422117,4.8902698
325,7.8967204,4.4196715
326,6.5458236,3.4669666
327,7.5342946,4.2787704
