,x,y
93,6.809642,12.606408
94,7.1989245,12.349807
95,6.3626437,13.627165
96,6.4749074,13.08379
97,6.5128655,13.025226
98,6.459133,13.037699
99,8.205608,12.231469
100,8.295753,12.247988
101,8.303625,12.120298
102,8.167963,12.173046
103,8.234012,12.288286
104,8.238648,12.279313
105,8.250505,12.154863
106,8.268605,12.283205
107,11.296149,10.464514
108,12.57712,11.79888
109,12.473703,11.704452
110,12.359523,11.441065
111,12.525264,11.633575
112,12.488899,11.651615
113,10.176444,12.849696
114,10.109113,12.732915
115,10.106341,13.360647
116,12.086918,14.151349
117,11.786549,14.031009
118,11.956981,14.223
119,12.042222,14.092965
120,12.078921,14.192335
121,10.591576,12.348128
122,12.0309725,13.082681
123,12.065432,13.124131
124,12.172438,13.330255
125,12.243334,13.208795
126,12.146906,13.356689
127,12.1494055,13.211312
128,12.09693,14.014451
129,12.225244,13.30401
130,12.319791,13.372299
131,12.090242,13.279982
132,12.126894,13.333523
133,10.36367,15.739602
134,10.425786,15.899458
135,10.149697,13.459118
136,11.051947,17.51569
137,11.8460245,13.5025015
138,11.856505,13.599738
139,11.911854,13.422322
140,11.976727,13.565208
141,10.897041,13.465228
142,7.6645265,14.575021
143,8.7894125,16.174313
144,8.782047,17.195839
145,5.7889647,15.580093
146,8.296365,17.414055
147,8.822247,17.487038
148,8.497627,17.15712
149,8.82047,17.279749
150,8.807576,17.254665
151,10.125702,12.729603
152,12.087442,13.169149
153,11.90181,13.365412
154,11.2363405,16.009672
155,9.53798,12.859246
156,11.156688,15.95943
157,12.928816,12.219066
158,12.840757,12.207043
159,12.780871,12.247981
160,12.786643,12.212983
161,12.925583,12.140321
162,12.826442,12.183651
163,13.556835,12.065967
164,13.603594,12.056968
165,13.53156,12.101822
166,13.601681,12.047923
167,13.603762,12.013478
168,13.598951,12.045884
169,13.5611,11.996259
170,13.567931,12.111926
171,13.625173,12.110467
172,13.588761,11.996268
173,13.595441,12.121757
174,13.642973,12.010295
175,13.580578,12.100761
176,8.748641,14.226048
177,8.661173,14.332291
178,8.463084,14.411607
179,5.6033573,13.743204
180,5.5187774,13.804154
181,5.9711256,12.647459
182,7.855268,14.990107
183,12.312446,14.362282
184,10.215226,10.938787
185,9.739215,11.604855
186,13.950705,12.073719
187,14.008495,12.021965
188,13.909307,11.934275
189,14.056299,11.965126
190,13.997518,12.016719
191,12.975192,14.548063
192,13.0506115,14.61615
193,13.0347805,14.623594
194,13.008372,13.26919
195,13.156969,13.146706
196,11.895101,13.112992
197,11.8384495,13.898295
198,11.987632,14.294681
199,11.967578,13.370946
200,7.717577,16.943647
201,7.0785713,15.237244
202,6.964076,15.158761
203,7.075976,15.23591
204,6.9271965,15.31026
205,6.916228,15.109222
206,10.89659,13.717062
207,10.598185,13.602798
208,10.866736,13.76174
209,11.111609,13.71477
210,11.17299,13.772742
211,11.039213,13.6092615
212,11.213713,12.962416
213,7.81751,16.293621
214,7.8371706,16.39384
215,10.537233,12.836903
216,10.199793,12.497537
217,7.0351853,16.300816
218,6.8036933,17.188763
219,6.8594685,16.674685
